EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
49091000;1;06/2018;1;5;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;10313.0;10312.0;10311.0;10310.0;10309.0;10308.0;10307.0;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;
49091000;1;07/2018;1;5;;;;;;;;;;;10306.0;10305.0;10304.0;10303.0;10302.0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5
49091000;1;08/2018;1;5;;;;;;;;;;;;;;;;;;;;;10267.0;10266.0;10265.0;10264.0;10263.0;10261.0;10260.0;10259.0;10257.0;10256.0;10255.0;10254.0;10253.0;10251.0;10250.0;10249.0;10247.0;10246.0;10243.0;10242.0;10241.0;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
49091000;1;09/2018;1;5;;;;;;0;0;0;;;10240.0;10239.0;10238.0;10237.0;10236.0;10235.0;10234.0;10233.0;10232.0;10230.0;10229.0;10228.0;10227.0;10226.0;10224.0;10223.0;10221.0;10220.0;10219.0;10218.0;10217.0;10216.0;;10214.0;10213.0;10211.0;10210.0;10209.0;10208.0;10208.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;
49091000;1;10/2018;1;5;;;;;;0;0;0;;;10205.0;10204.0;10202.0;10201.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;4;4;4;4;4;4;4
49091000;1;11/2018;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10137.0;10135.0;10134.0;10133.0;10132.0;10131.0;10130.0;10129.0;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;
49091000;1;12/2018;1;5;;;;;;;;;;;10128.0;10127.0;10126.0;10125.0;10124.0;10123.0;10123.0;10121.0;10120.0;10118.0;10117.0;10116.0;10115.0;10113.0;10112.0;10111.0;10110.0;10109.0;10108.0;10107.0;10105.0;10104.0;10103.0;10103.0;10104.0;10104.0;10102.0;10101.0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4
49091000;1;01/2019;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
49091000;1;02/2019;1;5;;;;;;;;;;;;;;;;;;10059.0;10058.0;10057.0;10055.0;10055.0;10053.0;10051.0;10058.0;10057.0;10055.0;10055.0;10054.0;10053.0;10052.0;10050.0;10049.0;10068.0;10067.0;10067.0;10066.0;10065.0;;;;4;4;4;4;4;4;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;;;
49091000;1;03/2019;1;5;;;;;;0;0;0;;;10063.0;10062.0;;10059.0;10057.0;10056.0;10055.0;10054.0;10052.0;10050.0;10049.0;10048.0;10047.0;10049.0;10050.0;10048.0;10047.0;10045.0;10044.0;10042.0;10040.0;10042.0;10040.0;10039.0;10039.0;10037.0;10036.0;10034.0;10033.0;10032.0;10034.0;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
