EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
84597300;1;03/2013;1;3;;;;;;0;0;0;;0;;;;;;;;97.0;122.0;116.0;93.0;86.0;138.0;115.0;102.0;109.0;125.0;113.0;105.0;108.0;216.0;156.0;122.0;111.0;105.0;99.0;104.0;95.0;98.0;92.0;91.0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84597300;2;03/2013;1;3;;;;;;0;0;0;;0;;;;;;;;97.0;122.0;116.0;93.0;86.0;138.0;115.0;102.0;109.0;125.0;113.0;105.0;108.0;216.0;156.0;122.0;111.0;105.0;99.0;104.0;95.0;98.0;92.0;91.0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84597300;2;04/2013;1;3;114.0;69.0;80.300003;4;28;1;1;1;;0;87.0;85.0;85.0;114.0;114.0;97.0;87.0;85.0;84.0;88.0;85.0;81.0;81.0;83.0;78.0;76.0;75.0;75.0;74.0;72.0;72.0;72.0;71.0;70.0;70.0;70.0;70.0;69.0;69.0;70.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84597300;1;04/2013;1;3;114.0;69.0;80.300003;4;28;1;1;1;;0;87.0;85.0;85.0;114.0;114.0;97.0;87.0;85.0;84.0;88.0;85.0;81.0;81.0;83.0;78.0;76.0;75.0;75.0;74.0;72.0;72.0;72.0;71.0;70.0;70.0;70.0;70.0;69.0;69.0;70.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84597300;2;05/2013;1;3;86.0;60.0;65.7742;20;28;1;1;1;;0;70.0;69.0;68.0;68.0;68.0;70.0;68.0;66.0;65.0;64.0;63.0;63.0;64.0;64.0;63.0;63.0;63.0;63.0;63.0;86.0;80.0;67.0;64.0;64.0;64.0;63.0;61.0;60.0;60.0;63.0;62.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84597300;1;05/2013;1;3;86.0;60.0;65.7742;20;28;1;1;1;;0;70.0;69.0;68.0;68.0;68.0;70.0;68.0;66.0;65.0;64.0;63.0;63.0;64.0;64.0;63.0;63.0;63.0;63.0;63.0;86.0;80.0;67.0;64.0;64.0;64.0;63.0;61.0;60.0;60.0;63.0;62.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84597300;2;06/2013;1;3;89.0;57.0;66.166702;30;15;1;1;1;;0;60.0;85.0;76.0;65.0;61.0;60.0;59.0;59.0;58.0;58.0;58.0;58.0;58.0;58.0;57.0;59.0;60.0;62.0;60.0;68.0;88.0;88.0;71.0;64.0;67.0;73.0;66.0;64.0;76.0;89.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84597300;1;06/2013;1;3;89.0;57.0;66.166702;30;15;1;1;1;;0;60.0;85.0;76.0;65.0;61.0;60.0;59.0;59.0;58.0;58.0;58.0;58.0;58.0;58.0;57.0;59.0;60.0;62.0;60.0;68.0;88.0;88.0;71.0;64.0;67.0;73.0;66.0;64.0;76.0;89.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84597300;2;07/2013;1;3;87.0;59.0;65.548401;23;14;1;1;1;;0;71.0;66.0;63.0;60.0;60.0;62.0;61.0;62.0;64.0;62.0;61.0;60.0;60.0;59.0;63.0;71.0;62.0;60.0;61.0;73.0;73.0;74.0;87.0;84.0;72.0;68.0;65.0;64.0;62.0;61.0;61.0;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
84597300;1;07/2013;1;3;;;;;;0;0;0;;0;71.0;66.0;63.0;60.0;60.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84597300;2;08/2013;1;3;192.0;58.0;91.806396;27;3;1;1;1;;0;60.0;59.0;58.0;66.0;86.0;68.0;78.0;67.0;64.0;160.0;187.0;110.0;89.0;101.0;90.0;77.0;70.0;67.0;65.0;65.0;63.0;61.0;60.0;68.0;81.0;158.0;186.0;124.0;98.0;87.0;80.0;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84597300;1;08/2013;1;3;;;;;;0;0;0;;0;;;;;;58.0;;;;;147.0;110.0;89.0;101.0;90.0;77.0;70.0;67.0;65.0;65.0;63.0;61.0;60.0;68.0;81.0;158.0;186.0;124.0;98.0;87.0;80.0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
