EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
63350100;2;04/1976;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;176.7672;170.0036;164.99471;163.3373;160.041;156.76939;158.4021;163.3373;173.37331;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;
63350100;2;05/1976;1;1;295.48221;151.9088;192.22929;22;5;1;1;1;;0;168.3279;158.4021;156.76939;153.52271;151.9088;153.52271;153.52271;153.52271;158.4021;171.68539;164.99471;164.99471;175.06731;175.06731;189.6595;192.08839;192.08839;199.44411;224.7005;285.5361;291.20401;295.48221;278.50989;251.06599;194.52879;195.7533;166.6582;164.99471;181.24989;195.7533;200.6801;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
63350100;2;06/1976;1;1;210.6702;142.35719;162.5914;8;22;1;1;1;;0;193.30721;177.6895;176.7672;170.0036;164.99471;178.8734;190.8725;210.6702;201.9189;183.63811;168.3279;166.6582;166.6582;163.3373;160.041;158.4021;158.4021;145.5157;151.9088;148.6996;145.5157;142.35719;142.35719;145.5157;153.52271;142.35719;142.35719;142.35719;142.35719;142.35719;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
63350100;2;07/1976;1;1;158.4021;126.9504;139.18941;10;27;1;1;1;;0;142.35719;142.35719;142.35719;142.35719;142.35719;142.35719;142.35719;142.35719;142.35719;158.4021;148.6996;148.6996;145.5157;145.5157;142.35719;139.2242;139.2242;139.2242;139.2242;136.1169;136.1169;136.1169;136.1169;136.1169;136.1169;136.1169;126.9504;126.9504;126.9504;126.9504;126.9504;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
63350100;2;08/1976;1;1;198.211;126.9504;150.2632;16;27;1;1;1;;0;128.46181;129.9798;133.03529;136.1169;131.5043;133.03529;137.6673;139.2242;133.03529;137.6673;163.3373;160.041;156.76939;166.6582;192.08839;198.211;187.24229;186.03799;195.7533;189.6595;176.7672;160.041;151.9088;137.6673;133.03529;128.46181;126.9504;126.9504;126.9504;126.9504;126.9504;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
63350100;2;09/1976;1;1;232.49519;122.4557;156.5957;19;3;2;2;2;;0;123.9473;123.9473;122.4557;122.4557;126.9504;139.2242;164.99471;166.6582;155.14301;139.2242;137.6673;129.9798;137.6673;140.78751;142.35719;148.6996;194.52879;214.463;232.49519;231.18919;193.30721;160.041;156.76939;150.3011;148.6996;156.76939;160.041;170.0036;158.4021;148.6996;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;
63350100;2;10/1976;1;1;218.2812;136.1169;165.3138;28;14;1;1;1;;0;147.10451;153.52271;156.76939;163.3373;177.6895;189.6595;198.211;189.6595;182.4425;180.0602;180.0602;160.041;142.35719;136.1169;136.1169;136.1169;139.2242;143.9333;170.0036;173.37331;140.78751;137.6673;143.9333;143.9333;142.35719;164.99471;193.30721;218.2812;201.9189;192.08839;189.6595;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
63350100;2;11/1976;1;1;217.00571;133.03529;175.1463;6;13;1;1;1;;0;182.4425;190.8725;198.211;196.9807;201.9189;217.00571;201.9189;194.52879;192.08839;182.4425;161.6861;142.35719;133.03529;140.78751;156.76939;189.6595;193.30721;186.03799;170.0036;164.99471;168.3279;180.0602;181.24989;156.76939;137.6673;133.03529;142.35719;198.211;170.0036;189.6595;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
63350100;2;12/1976;1;1;224.7005;147.10451;185.68089;3;7;1;1;1;;0;201.9189;215.73289;224.7005;181.24989;170.0036;160.041;147.10451;148.6996;151.9088;158.4021;173.37331;184.83659;205.6524;220.84061;220.84061;215.73289;200.6801;208.15559;209.4115;194.52879;177.6895;164.99471;170.0036;164.99471;183.63811;200.6801;195.7533;176.7672;181.24989;184.83659;161.6861;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
63350100;2;01/1977;1;1;384.1694;164.99471;253.8989;28;3;2;2;2;;0;180.0602;168.3279;164.99471;171.68539;176.7672;218.2812;223.4111;211.93159;181.24989;217.00571;237.7466;237.7466;224.7005;224.7005;229.88589;219.55949;205.6524;201.9189;204.40511;218.2812;237.7466;304.1084;358.4425;311.36749;312.827;320.16269;371.2229;384.1694;384.1694;384.1694;384.1694;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2
63350100;2;02/1977;1;1;384.1694;193.30721;289.52179;1;20;2;2;2;;0;384.1694;384.1694;348.9671;304.1084;384.1694;384.1694;384.1694;347.39709;356.85669;336.52371;318.69049;309.91049;291.20401;295.48221;309.91049;295.48221;274.32571;233.80389;229.88589;193.30721;193.30721;235.1154;237.7466;224.7005;218.2812;211.93159;208.15559;210.6702;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;;;
63350100;2;03/1977;1;1;241.7139;177.6895;215.14931;31;24;2;2;2;;0;211.93159;217.00571;224.7005;232.49519;237.7466;237.7466;239.0663;237.7466;232.49519;223.4111;228.5854;228.5854;219.55949;208.15559;203.1606;206.9026;215.73289;211.93159;206.9026;201.9189;196.9807;188.44949;181.24989;177.6895;183.63811;196.9807;208.15559;218.2812;222.1244;228.5854;241.7139;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
