EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
37471000;1;04/2018;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;15990.0;16058.0;15962.0;;;15964.0;15966.0;;;15972.0;;;15970.0;;;;;;;;;6;;;6;;;;6;;6;1;1;1;;;1;1;;;1;;;1;;
37471000;1;05/2018;1;5;;;;;;0;0;0;;;;15970.0;;;;;15968.0;;;;;15964.0;;;;;;;;;15964.0;15964.0;;15962.0;;15962.0;15962.0;15960.0;15960.0;15958.0;;;1;;;;;1;;;;;1;;;;;;;;;1;1;;1;;1;1;1;1;1;
37471000;1;06/2018;1;5;;;;;;0;0;0;;;;15966.0;;15954.0;;;15950.0;;;15948.0;;;;15946.0;;15946.0;;;;15944.0;;;15942.0;;15940.0;15040.0;515938.0;15938.0;;15938.0;;;1;;1;;;1;;;1;;;;1;;1;;;;1;;;1;;1;1;1;1;;1;
37471000;1;07/2018;1;5;;;;;;0;0;0;;;;;15936.0;;;;15930.0;;;;15928.0;;15926.0;15926.0;;;15925.0;;;;15924.0;;;;;15922.0;;15918.0;;15916.0;15915.0;;;1;;;;1;;;;1;;1;1;;;1;;;;1;;;;;1;;1;;1;1
37471000;1;08/2018;1;5;;;;;;0;0;0;;;;;;15912.0;;;15908.0;15908.0;;;15904.0;;;15902.0;;;15900.0;;;15898.0;;15897.0;;;15896.0;;;15895.0;;15894.0;;;;;1;;;1;1;;;1;;;1;;;1;;;1;;1;;;1;;;1;;1;
37471000;1;09/2018;1;5;;;;;;0;0;0;;;15888.0;;;15885.0;;;;;15880.0;;15878.0;;;15874.0;;15872.0;;;15870.0;;;15868.0;;;15866.0;;15862.0;;;15860.0;;1;;;1;;;;;1;;1;;;1;;1;;;1;;;1;;;1;;1;;;1;
37471000;1;10/2018;1;5;;;;;;0;0;0;;;;;15856.0;;;;;15850.0;;15848.0;;;;15846.0;;15844.0;;15840.0;;15838.0;;15836.0;;15834.0;;15830.0;;;15828.0;;15826.0;;;1;;;;;1;;1;;;;1;;1;;1;;1;;1;;1;;1;;;1;;1
37471000;1;11/2018;1;5;;;;;;0;0;0;;;;;;;;15820.0;;;15816.0;;15814.0;15812.0;;15808.0;;;;15804.0;;15802.0;;15799.0;;;15796.0;;;15795.0;;15794.0;;;;;;;1;;;1;;1;1;;1;;;;1;;1;;1;;;1;;;1;;1;
37471000;1;12/2018;1;5;;;;;;0;0;0;;;;;15790.0;;;15788.0;;15786.0;15786.0;;15784.0;;;15780.0;;;15776.0;;;15774.0;15770.0;;15760.0;;;;;;;;15792.0;;;1;;;1;;1;1;;1;;;1;;;1;;;1;1;;1;;;;;;;;1
37471000;1;01/2019;1;5;;;;;;;;;;;;15790.0;;;;15786.0;;;15788.0;;;;;15780.0;;;15778.0;;;;;;;15804.0;;15802.0;;;15802.0;15802.0;15802.0;;1;;;;1;;;1;;;;;1;;;3;;;;;;;3;;1;;;1;1;1
37471000;1;02/2019;1;5;;;;;;;;;;;;;;15798.0;;15810.0;15810.0;;15808.0;15808.0;15807.0;;15806.0;;;15805.0;15814.0;;15814.0;;;15813.0;;15810.0;;15809.0;;15808.0;;;;;;;1;;3;1;;1;1;1;;1;;;1;1;;1;;;1;;1;;1;;1;;;
37471000;1;03/2019;1;5;;;;;;;;;;;;;;;;15804.0;;15804.0;;15802.0;;15802.0;;15799.0;;15799.0;;;;15798.0;;15798.0;;15798.0;;15798.0;;15804.0;;15824.0;15832.0;;;;;;3;;1;;1;;1;;1;;1;;;;1;;1;;1;;1;;1;;1;1
37471000;1;04/2019;1;5;;;;;;;;;;;;15870.0;15878.0;;;15935.0;;15935.0;15935.0;;15935.0;15936.0;;15933.0;;;15930.0;15930.0;;;15932.0;;15930.0;;;;15932.0;;15930.0;;;;1;1;;;3;;1;1;;1;1;;1;;;1;1;;;1;;1;;;;1;;1;;
