EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
61052000;2;09/1934;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.6187999;3.5495;3.5495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;
61052000;2;10/1934;1;1;4.4288998;3.2142;3.4261999;30;18;2;2;2;;0;3.3461001;3.3461001;3.3461001;3.3461001;3.3461001;3.3461001;3.2797999;3.3461001;3.3461001;3.3461001;3.2797999;3.5495;3.6187999;3.3461001;3.3461001;3.2797999;3.2797999;3.2142;3.2142;3.2142;3.2142;3.2797999;3.6187999;3.6187999;3.4809999;3.8309;3.5495;3.3461001;3.3461001;4.4288998;3.7595;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
61052000;2;11/1934;1;1;5.2431002;3.0850999;3.668;18;7;2;2;2;;0;3.4131999;3.3461001;3.3461001;3.2142;3.2142;3.2142;3.0850999;3.5495;3.4131999;3.4131999;3.7595;3.3461001;3.4809999;3.3461001;3.2797999;3.2142;4.0496001;5.2431002;5.0742998;4.3515;3.9760001;3.7595;3.4809999;3.4809999;3.7595;3.4809999;3.3461001;4.5068998;4.2750001;3.6187999;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
61052000;2;12/1934;1;1;41.826698;4.1240001;9.3486996;22;5;2;2;2;;0;4.3515;6.5098;5.3287001;4.3515;4.1240001;8.0338001;6.9984999;5.415;5.6784;4.7456002;4.3515;4.3515;7.4032998;6.0402999;10.095;8.1415997;7.8204999;8.0338001;10.217;9.6148005;20.788;41.826698;19.722099;13.1053;9.8533001;8.2502003;7.7150998;13.9612;8.5808001;7.4032998;6.9984999;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
61052000;2;01/1935;1;1;31.773399;5.8578;11.3793;31;1;2;2;2;;0;5.8578;15.6071;23.7803;7.9267998;9.1472998;7.9267998;8.9182997;14.6969;20.0741;9.7336998;9.3795004;8.4698;11.0937;7.9267998;7.4032998;8.1415997;7.1992998;6.7030001;6.4144001;12.4145;9.3795004;16.3883;9.3795004;8.9182997;10.217;9.7336998;11.6123;9.1472998;9.3795004;18.0133;31.773399;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1
61052000;2;02/1935;1;1;35.2775;8.6925001;16.9795;2;23;1;1;1;;0;20.4293;35.2775;33.3839;21.884501;19.897699;17.847;17.681601;26.992599;20.0741;26.578899;17.517;13.9612;12.9655;21.884501;17.190399;12.6884;11.4815;10.4635;10.217;10.7132;9.6148005;9.1472998;8.6925001;28.042;12.1439;10.5879;9.2629995;8.8050003;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
61052000;2;03/1935;1;1;11.6123;5.5021;7.3316002;6;31;1;1;1;;0;8.0338001;7.8204999;8.9182997;7.8204999;11.0937;11.6123;8.6925001;7.6104002;7.1992998;6.9984999;6.8007002;6.8007002;6.9984999;6.8007002;7.1992998;8.0338001;7.7150998;10.9661;7.5064001;6.8007002;6.6059999;6.6059999;6.2258;6.0402999;5.9487;5.8578;5.8578;5.8578;5.6784;5.6784;5.5021;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61052000;2;04/1935;1;1;13.5295;5.1582999;6.1987;3;21;1;1;1;;0;5.5021;6.4144001;13.5295;8.6925001;6.4144001;6.4144001;6.0402999;6.3196998;6.0402999;5.8578;5.8578;5.6784;5.3287001;7.1992998;6.1327;5.6784;5.5021;5.3287001;5.3287001;5.3287001;5.1582999;5.2431002;8.2502003;5.7677999;5.5021;5.3287001;5.3287001;6.1327;5.5021;5.1582999;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61052000;2;05/1935;1;1;8.4698;4.5068998;5.0077;20;19;2;2;2;;0;5.1582999;5.2431002;4.9910002;4.9910002;4.9085002;4.9085002;4.8267002;4.8267002;4.8267002;4.8267002;4.8267002;4.8267002;4.8267002;4.7456002;4.6652999;4.6652999;4.5858002;4.5858002;4.5068998;8.4698;6.2258;5.5899;5.1582999;4.9910002;4.9085002;4.8267002;4.7456002;4.7456002;4.6652999;4.5858002;4.5858002;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61052000;2;06/1935;1;1;4.7456002;4.0496001;4.3308001;12;24;1;1;1;;0;4.5858002;4.5068998;4.5068998;4.5068998;4.5068998;4.5068998;4.5068998;4.4288998;4.4288998;4.4288998;4.4288998;4.7456002;4.5068998;4.5068998;4.3515;4.3515;4.2750001;4.2750001;4.2750001;4.1991;4.1991;4.1991;4.1991;4.0496001;4.0496001;4.1240001;4.1240001;4.0496001;4.0496001;4.0496001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61052000;2;07/1935;1;1;4.3515;3.8309;4.0412998;8;22;1;1;1;;0;4.0496001;4.0496001;4.1240001;4.1240001;4.1240001;4.1240001;4.0496001;4.3515;4.2750001;4.1991;4.1991;4.1240001;4.0496001;4.0496001;3.9031;3.9031;3.9031;3.9031;3.9031;3.9031;3.9031;3.8309;3.8309;3.9760001;4.1991;4.0496001;3.9760001;3.9031;4.2750001;4.0496001;3.9760001;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61052000;2;08/1935;1;1;3.9031;3.4131999;3.6268001;1;30;1;1;1;;0;3.9031;3.8309;3.7595;3.7595;3.7595;3.7595;3.7595;3.6888001;3.6888001;3.6888001;3.6888001;3.6888001;3.6888001;3.6888001;3.6888001;3.6888001;3.6187999;3.6187999;3.6187999;3.6187999;3.5495;3.4809999;3.4809999;3.4809999;3.4809999;3.4809999;3.4809999;3.4809999;3.4809999;3.4131999;3.4131999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61052000;2;09/1935;1;1;3.8309;3.2797999;3.4481001;14;8;1;1;1;;0;3.4131999;3.4131999;3.4131999;3.3461001;3.3461001;3.3461001;3.3461001;3.2797999;3.2797999;3.5495;3.4131999;3.4131999;3.4131999;3.8309;3.6888001;3.6187999;3.5495;3.4131999;3.3461001;3.5495;3.4131999;3.4131999;3.4131999;3.4131999;3.4131999;3.4131999;3.4131999;3.4809999;3.5495;3.5495;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61052000;2;10/1935;1;1;8.2502003;3.1493001;3.9854;25;22;1;1;1;;0;3.7595;3.6187999;3.3461001;3.3461001;3.3461001;3.3461001;3.2797999;3.2797999;3.2797999;3.2797999;3.2142;3.2142;3.2142;4.1240001;3.4809999;3.4131999;3.4809999;3.5495;3.3461001;3.3461001;3.2142;3.1493001;3.1493001;3.1493001;8.2502003;5.0742998;4.1991;5.5021;4.9910002;7.4032998;7.1992998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61052000;2;11/1935;1;1;5.5021;2.7149999;3.4851;13;22;1;1;1;;0;4.1240001;3.7595;3.6187999;3.4809999;3.3461001;3.4809999;4.0496001;3.6187999;3.3461001;3.2797999;3.2797999;3.2142;5.5021;3.7595;3.4809999;3.2797999;3.2142;3.1493001;3.0850999;3.0850999;3.0216;2.7149999;3.6187999;3.2797999;3.1493001;3.0850999;4.3515;3.4809999;3.2142;3.4809999;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61052000;2;12/1935;1;1;4.6652999;3.0850999;3.4744;18;7;1;1;1;;0;3.4131999;4.0496001;3.4809999;3.3461001;3.3461001;3.1493001;3.0850999;3.4809999;4.4288998;4.0496001;3.7595;3.4809999;3.3461001;3.3461001;3.8309;3.4809999;3.3461001;4.6652999;3.6187999;3.2797999;3.2797999;3.2142;3.8309;3.4809999;3.2142;3.1493001;3.0850999;3.0850999;3.1493001;3.0850999;3.1493001;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61052000;2;01/1936;1;1;8.3596001;2.8968;3.9705999;20;31;2;2;2;;0;4.9085002;4.9910002;4.9085002;4.5858002;3.7595;3.5495;3.5495;3.3461001;3.2797999;3.3461001;3.6187999;3.6187999;3.4809999;3.4131999;3.5495;3.3461001;3.2142;3.4809999;5.2431002;8.3596001;5.2431002;4.6652999;4.3515;4.1240001;3.8309;3.6187999;3.5495;3.2142;3.0850999;2.9589;2.8968;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
61052000;2;02/1936;1;1;14.4002;2.8968;5.1973;29;1;2;2;2;;0;2.8968;3.0850999;3.2797999;3.3461001;4.0496001;5.3287001;5.5899;5.415;4.7456002;4.2750001;3.5495;3.2797999;3.2797999;3.6187999;3.4809999;3.3461001;3.2142;3.2142;3.6187999;3.9760001;4.4288998;7.5064001;7.5064001;7.4032998;6.8007002;5.8578;9.2629995;10.9661;14.4002;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
61052000;2;03/1936;1;1;16.867001;6.8007002;10.2988;3;29;2;2;2;;0;15.6071;16.5471;16.867001;15.6071;11.8765;9.7336998;9.9737997;10.095;10.217;10.217;9.8533001;9.1472998;8.5808001;8.8050003;9.6148005;10.3399;10.8392;10.9661;9.9737997;9.6148005;9.0324001;8.4698;9.6148005;10.095;9.3795004;7.8204999;7.3009;7.5064001;6.8007002;9.7336998;9.0324001;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
