EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
38158000;1;03/1934;1;1;100.0;;;22;;1;0;0;;0;;;;;;;;;;;;;;;;85.0;95.0;75.0;70.0;70.0;60.0;100.0;95.0;75.0;70.0;60.0;50.0;45.0;50.0;45.0;55.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
38158000;1;04/1934;1;1;80.0;20.0;39.0;5;24;1;1;1;;0;45.0;40.0;50.0;40.0;65.0;65.0;40.0;40.0;50.0;65.0;60.0;50.0;45.0;40.0;40.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;20.0;20.0;20.0;30.0;30.0;35.0;35.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
38158000;1;05/1934;1;1;140.0;30.0;56.0;3;31;1;1;1;;0;35.0;50.0;90.0;75.0;60.0;55.0;45.0;50.0;45.0;45.0;65.0;90.0;51.0;49.0;90.0;51.0;70.0;70.0;55.0;55.0;50.0;55.0;55.0;55.0;55.0;60.0;50.0;55.0;35.0;35.0;30.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
38158000;1;06/1934;1;1;;;;;;4;0;0;;0;40.0;40.0;30.0;30.0;30.0;30.0;35.0;40.0;40.0;35.0;40.0;40.0;55.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;0
38158000;1;01/1935;1;1;85.0;;;30;;1;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.0;80.0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1
38158000;1;02/1935;1;1;90.0;10.0;34.0;1;19;1;1;1;;0;90.0;50.0;45.0;60.0;50.0;40.0;40.0;40.0;35.0;30.0;45.0;40.0;35.0;30.0;30.0;20.0;20.0;20.0;10.0;10.0;25.0;30.0;30.0;30.0;30.0;25.0;20.0;20.0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
38158000;1;03/1935;1;1;220.0;10.0;49.0;22;13;1;1;1;;0;20.0;20.0;20.0;20.0;20.0;25.0;30.0;30.0;20.0;20.0;20.0;20.0;10.0;10.0;40.0;105.0;75.0;70.0;75.0;85.0;90.0;220.0;75.0;55.0;60.0;50.0;45.0;55.0;55.0;40.0;40.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
38158000;1;04/1935;1;1;125.0;25.0;62.0;16;30;1;1;1;;0;40.0;40.0;55.0;65.0;55.0;115.0;55.0;45.0;50.0;50.0;50.0;50.0;70.0;60.0;65.0;125.0;120.0;85.0;65.0;85.0;85.0;65.0;85.0;60.0;50.0;45.0;30.0;30.0;35.0;25.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
38158000;1;05/1935;1;1;55.0;10.0;20.0;6;3;1;1;1;;0;20.0;20.0;10.0;20.0;35.0;55.0;30.0;30.0;20.0;20.0;20.0;15.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;35.0;45.0;35.0;30.0;25.0;20.0;15.0;10.0;10.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
38158000;1;06/1935;1;1;65.0;;;10;;1;0;0;;0;10.0;10.0;10.0;10.0;10.0;5.0;;;;65.0;35.0;25.0;20.0;15.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;15.0;20.0;20.0;20.0;15.0;10.0;10.0;10.0;5.0;;1;1;1;1;1;1;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
