EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
39745000;2;12/2012;1;1;;;;;;0;0;0;0.0;0;;1.5705;1.4649;1.6803;2.0362;1.9132;1.9132;2.2959001;2.4326;2.5739;2.8706;2.5739;2.1638;1.9132;1.9132;1.5705;1.3636;1.4649;1.3636;1.0001;1.0001;1.0848;1.1736;1.2666;1.4649;1.4649;1.3636;1.1736;1.1736;1.1736;1.1736;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
39745000;2;01/2013;1;1;5.7256999;0.51529998;3.0797999;10;28;2;2;2;;0;1.9132;2.7198999;3.1863999;4.8520002;4.8520002;3.6965001;3.8764999;4.4464998;4.8520002;5.7256999;4.8520002;4.6465998;3.8764999;3.5216;3.5216;3.5216;3.6965001;3.8764999;3.5216;3.1863999;2.8706;2.5739;3.0260999;2.4326;1.7945;1.3636;0.63499999;0.51529998;0.51529998;0.63499999;0.76950002;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
39745000;2;02/2013;1;1;3.5216;0.84240001;2.2005999;25;2;2;2;2;;0;0.91930002;0.84240001;1.0848;1.1736;1.0001;1.0001;1.2666;1.4649;2.7198999;3.0260999;2.5739;2.1638;2.2959001;2.2959001;2.1638;2.4326;2.0362;1.2666;2.2959001;2.7198999;3.0260999;3.0260999;3.0260999;3.3515999;3.5216;3.0260999;2.8706;3.0260999;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;
39745000;2;03/2013;1;1;4.0613999;0.76950002;2.0589001;24;17;2;2;2;;0;3.0260999;2.5739;2.2959001;2.1638;1.9132;1.6803;1.9132;1.9132;1.9132;1.9132;1.9132;1.9132;1.6803;1.3636;1.0001;0.84240001;0.76950002;0.76950002;0.76950002;1.0848;2.1638;2.8706;3.3515999;4.0613999;3.6965001;3.0260999;2.5739;2.1638;1.9132;2.2959001;2.2959001;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
39745000;2;04/2013;1;1;48.8433;0.70039999;8.4790001;30;19;1;1;2;;0;2.2959001;2.4326;2.2959001;2.1638;1.9132;1.6803;1.3636;1.7945;2.2959001;2.7198999;3.0260999;3.0260999;2.5739;2.2959001;2.1638;1.7945;1.3636;1.1736;0.70039999;2.1638;12.1177;7.1974001;6.9383998;7.1974001;39.2048;15.5585;14.3558;13.5852;48.134102;48.8433;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;
39745000;2;05/2013;1;1;35.273102;5.2782998;15.351;2;25;1;2;2;;0;33.990398;35.273102;30.2292;22.4389;16.818001;13.2091;12.1177;10.4195;10.0977;23.4685;21.436199;18.587099;15.1513;13.5852;14.3558;15.1513;20.4601;28.438999;22.950399;19.5105;13.2091;9.4715996;7.1974001;5.9573998;5.2782998;5.2782998;5.4994001;7.4619002;6.6849999;5.9573998;6.1945;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2
39745000;2;06/2013;1;1;51.710701;5.0625;14.7408;14;7;1;2;2;;0;6.9383998;6.9383998;5.9573998;5.4994001;5.2782998;5.2782998;5.0625;5.2782998;8.5761003;11.4205;13.5852;18.587099;33.3545;51.710701;29.0259;26.7202;19.982;15.972;12.4754;12.4754;12.4754;12.4754;12.4754;12.1177;12.8392;13.5852;15.1513;15.972;19.0455;15.972;;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;2;2;2;2;1;2;1;1;1;1;1;
39745000;2;07/2013;1;1;180.4129;12.4754;41.384899;3;1;1;1;2;;0;12.4754;80.399902;180.4129;130.2885;57.589401;32.722099;26.7202;18.587099;15.972;17.689699;15.1513;38.540901;72.2799;94.778999;47.428101;31.4683;18.587099;14.3558;21.9342;21.9342;17.689699;23.4685;19.5105;41.8937;53.162601;37.880501;48.8433;26.7202;23.4685;21.9342;19.0455;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
39745000;2;08/2013;1;1;53.893002;11.7661;19.110901;3;30;2;2;2;;0;17.689699;25.063601;53.893002;34.630001;21.436199;22.950399;18.135099;15.972;14.7504;15.5585;15.5585;15.1513;13.9674;12.8392;18.135099;15.972;13.9674;16.3918;30.2292;27.8591;22.4389;17.689699;19.5105;17.689699;15.1513;14.3558;14.3558;14.3558;13.2091;11.7661;11.7661;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
39745000;2;09/2013;1;1;13.2091;5.2782998;9.2978001;11;26;2;2;2;;0;11.4205;11.0809;10.7472;10.4195;11.0809;11.0809;11.0809;11.4205;11.4205;11.4205;13.2091;12.1177;10.0977;12.4754;12.1177;11.0809;10.7472;10.7472;9.1673002;7.1974001;6.9383998;6.4369998;6.4369998;6.1945;5.9573998;5.2782998;5.2782998;5.7256999;5.2782998;5.2782998;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
