EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
61261000;1;01/1942;1;1;52.0;;;30;;1;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;50.0;50.0;50.0;50.0;50.0;50.0;50.0;52.0;49.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
61261000;1;02/1942;1;1;72.0;49.0;54.0;19;1;1;1;1;;0;49.0;54.0;52.0;50.0;50.0;50.0;50.0;52.0;50.0;51.0;51.0;52.0;52.0;50.0;50.0;51.0;52.0;56.0;72.0;58.0;61.0;67.0;60.0;55.0;54.0;54.0;53.0;52.0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
61261000;1;03/1942;1;1;67.0;54.0;57.0;5;2;1;1;1;;0;56.0;54.0;54.0;62.0;67.0;62.0;60.0;57.0;56.0;56.0;59.0;62.0;60.0;59.0;58.0;55.0;56.0;56.0;55.0;56.0;55.0;55.0;55.0;55.0;55.0;54.0;54.0;54.0;54.0;54.0;54.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61261000;1;04/1942;1;1;58.0;51.0;53.0;5;28;1;1;1;;0;56.0;55.0;54.0;53.0;58.0;55.0;54.0;53.0;53.0;53.0;53.0;52.0;52.0;52.0;52.0;52.0;52.0;53.0;55.0;53.0;58.0;53.0;53.0;52.0;52.0;52.0;52.0;51.0;51.0;51.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
61261000;1;05/1942;1;1;52.0;47.0;49.0;5;25;1;1;1;;0;51.0;51.0;51.0;50.0;52.0;52.0;52.0;52.0;52.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;49.0;49.0;49.0;49.0;48.0;48.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61261000;1;06/1942;1;1;50.0;45.0;47.0;10;25;1;1;1;;0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;49.0;50.0;49.0;48.0;48.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;46.0;46.0;46.0;46.0;45.0;45.0;45.0;45.0;45.0;45.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
61261000;1;07/1942;1;1;52.0;45.0;47.0;4;1;1;1;1;;0;45.0;45.0;45.0;52.0;48.0;47.0;47.0;47.0;47.0;51.0;50.0;48.0;47.0;47.0;46.0;46.0;46.0;46.0;46.0;46.0;46.0;45.0;47.0;46.0;46.0;45.0;45.0;45.0;45.0;45.0;45.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61261000;1;08/1942;1;1;45.0;43.0;44.0;1;14;1;1;1;;0;45.0;45.0;45.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;43.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61261000;1;09/1942;1;1;47.0;42.0;43.0;25;5;1;1;1;;0;43.0;43.0;43.0;43.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;45.0;42.0;43.0;43.0;42.0;42.0;42.0;42.0;47.0;43.0;42.0;42.0;42.0;42.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
61261000;1;10/1942;1;1;53.0;41.0;43.0;28;12;1;1;1;;0;42.0;42.0;44.0;42.0;42.0;42.0;42.0;42.0;46.0;43.0;42.0;41.0;43.0;42.0;44.0;42.0;42.0;42.0;42.0;42.0;41.0;41.0;41.0;44.0;44.0;47.0;43.0;53.0;46.0;44.0;42.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
