EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
38885000;1;03/1975;1;1;501.0;;;9;;1;0;0;;0;244.0;240.0;245.0;246.0;252.0;274.0;274.0;345.0;501.0;496.0;467.0;435.0;407.0;383.0;361.0;346.0;333.0;328.0;319.0;312.0;305.0;300.0;;;;;;;;;308.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1
38885000;1;04/1975;1;1;;;;;;0;0;0;;0;331.0;330.0;322.0;314.0;307.0;307.0;306.0;306.0;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38885000;1;05/1975;1;1;437.0;;;1;;1;0;0;;0;437.0;427.0;410.0;394.0;379.0;368.0;385.0;376.0;365.0;352.0;341.0;330.0;325.0;315.0;308.0;303.0;300.0;;;;;;;;;;;287.0;286.0;284.0;281.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
38885000;1;06/1975;1;1;;252.0;263.0;;30;0;1;1;;0;279.0;282.0;279.0;278.0;276.0;275.0;272.0;269.0;266.0;264.0;262.0;261.0;260.0;258.0;256.0;254.0;254.0;259.0;267.0;265.0;260.0;258.0;259.0;258.0;258.0;256.0;253.0;253.0;253.0;252.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
38885000;1;07/1975;1;1;;249.0;348.0;;2;0;1;1;;0;250.0;249.0;258.0;341.0;337.0;338.0;314.0;363.0;292.0;435.0;435.0;403.0;388.0;350.0;331.0;326.0;520.0;425.0;423.0;382.0;373.0;362.0;349.0;339.0;330.0;322.0;315.0;310.0;308.0;307.0;304.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
38885000;1;08/1975;1;1;;;;;;4;0;0;;0;300.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
38885000;1;02/1976;1;1;;;;;;4;0;0;;0;;;;;;;;;;;;;;;;;313.0;312.0;310.0;306.0;301.0;;;;;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;4;4;4;4;4;4;4;4;0;0
38885000;1;03/1976;1;1;337.0;;;30;;1;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;337.0;304.0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1
38885000;1;04/1976;1;1;;;;;;4;0;0;;0;309.0;374.0;429.0;416.0;398.0;379.0;363.0;349.0;337.0;326.0;316.0;317.0;312.0;373.0;362.0;349.0;336.0;325.0;317.0;310.0;303.0;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;0
38885000;1;05/1976;1;1;;;;;;4;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;316.0;;;;;307.0;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;1;4;4;4
